Plasman,Startni broj,Ime,Prezime,Klub,Vreme
1,528,Seid,Bibic,,38:22
2,508,Veljko,Pendić,,38:43
3,518,Dejan,Cirkovic,Šaronje,39:29
4,552,Viktor,Avramović,PK Tara,40:10
5,515,Vladimir,Todorovic,,44:07
6,503,Aleksa,Radonjić,,47:00
7,531,Александар,Петровић,,47:07
8,539,Андрија,Нешовић,,49:48
9,555,Slobodan,Nićiforović,KTJ TEAM,50:03
10,509,Душан,Тимотијевић,,50:04
11,557,Mateja,Jovanović,NP OCR TEAM,51:18
12,548,Ugljesa,Andrijanic,Coca Cola HBC Runners,51:34
13,520,Marko,Nedeljkovic,,52:07
14,534,Fadil,Novalić,Rekreativac,52:10
15,507,Nikola,Božovic,,52:15
16,536,Nikola,Beočanin,,55:40
17,554,Лука,Белојица,,56:34
18,533,Marijan,Milicevic,,56:52
19,553,anel,alickovic,Trail blazers,59:10
20,519,Stefan,Draskovic,,59:49
21,524,Milan,Pavic,,1:01:03
22,551,Nebojša,Jovanović,,1:01:18
23,514,Hamza,Trtovac,,1:02:18
24,544,Anes,Curić,,1:03:07
25,546,Teo,Taraniš,Trkači NP,1:05:01
26,537,Mateja,Čolović,,1:09:27
27,540,Marko,Djorovic,,1:09:44
28,541,Balsa,Jankovic,NovoPazarski atletski klub,1:10:08
29,542,Ivan,Jankovic,,1:10:08
30,511,Damjan,Markovic,,1:11:22
31,504,Matija,Radulović,,1:14:11
32,505,Petar,Ivanović,,1:14:11
33,529,strahinja,beocanin,,1:15:11
34,527,Srdjan,Milutinovic,🏃rekreativac,1:15:21
35,512,Ernes,Ferizovic,Trail blazers,1:16:54
36,562,Strahinja,Janković,,1:16:54
37,526,Lazar,Jelenković,,1:22:20
38,530,Nikola,Vukomanović,Coca Cola HBC Runners,1:22:23
39,561,Milorad,Micic Badic,San svake tašte,1:38:51
40,559,Marko,Draganić,PRODIGYM GUCA,DSQ
41,564,Славко,Полић,,DNS
